Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
$$CASH_TX,,,,,,,,,20250119,,4150.0,,,,midas,DEPOSIT
LASR,69.41,2026/05/04,16:00 EDT,-1.5699997,70.43,71.51,67.43,746673,20260429,65.0,1.0,,,,,SELL
GOOGL,383.25,2026/05/04,16:00 EDT,-2.4400024,385.63,387.38,379.8,26096271,20260429,355.0,1.0,,,,,BUY
GOOGL,383.25,2026/05/04,16:00 EDT,-2.4400024,385.63,387.38,379.8,26096271,20260323,302.46,0.5,0.5,,,,BUY
VST,160.85,2026/05/04,16:00 EDT,5.57001,157.69,162.38,157.44,4191376,20260323,152.0,1.0,,,,,BUY
LEU,206.92,2026/05/04,16:00 EDT,0.279999,207.16,210.71,202.475,626652,20260323,195.0,1.0,,,,,BUY
MRVL,163.66,2026/05/04,16:00 EDT,-1.2899933,165.48,166.82,162.26,13478519,20260428,148.0,1.0,,,,,SELL
MRVL,163.66,2026/05/04,16:00 EDT,-1.2899933,165.48,166.82,162.26,13478519,20260316,92.21,1.0,0.2,,,,BUY
GLW,159.96,2026/05/04,16:01 EDT,1.70001,163.16,163.035,158.31,8490095,20260416,160.0,1.0,,,,,SELL
GLW,159.96,2026/05/04,16:01 EDT,1.70001,163.16,163.035,158.31,8490095,20260316,134.0,1.0,0.2,,,,BUY
GOOG,379.64,2026/05/04,16:00 EDT,-3.5799866,382.32,384.16,376.77,18143004,20260319,303.0,1.0,,,,,SELL
GOOG,379.64,2026/05/04,16:00 EDT,-3.5799866,382.32,384.16,376.77,18143004,20260309,298.0,0.5,,,,,BUY
TSM,401.61,2026/05/04,16:00 EDT,3.93997,404.515,407.7,395.2,9938256,20260501,398.0,0.5,,,,,BUY
TSM,401.61,2026/05/04,16:00 EDT,3.93997,404.515,407.7,395.2,9938256,20260319,329.0,0.5,,,,,SELL
TSM,401.61,2026/05/04,16:00 EDT,3.93997,404.515,407.7,395.2,9938256,20260306,338.89,0.5,,,,,BUY
MSFT,413.62,2026/05/04,16:00 EDT,-0.5750122,411.55,420.78,410.8,26572430,20260319,390.0,0.5,,,,,SELL
MSFT,413.62,2026/05/04,16:00 EDT,-0.5750122,411.55,420.78,410.8,26572430,20260313,406.41,0.5,,,,,BUY
