Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
$$CASH_TX,,,,,,,,,20260312,,5230.0,,,,fix,DEPOSIT
SNDK,1255.86,2026/05/04,16:00 EDT,68.859985,1222.18,1275.08,1205.0,17704543,20260501,1113.0,0.2,,,,,BUY
NVT,162.69,2026/05/04,16:00 EDT,3.77,160.98,166.1,159.87,3893603,20260430,141.0,1.0,,,,,BUY
SOFI270115C00020000,2.25,2026/05/04,15:59 EDT,-0.1400001,2.38,2.56,2.25,2126,20260429,2.12,1.0,1.0,,,,BUY
BABA,133.27,2026/05/04,16:03 EDT,1.77,133.98,136.115,133.26,7918998,20260424,135.0,1.0,,,,,SELL
XBI,133.5,2026/05/04,16:00 EDT,3.08,129.99,133.76,129.8,8093138,20260429,129.0,1.0,,,,,BUY
XBI,133.5,2026/05/04,16:00 EDT,3.08,129.99,133.76,129.8,8093138,20260421,137.5,1.0,1.0,,,,BUY
BABA260717C00165000,2.51,2026/05/04,15:58 EDT,0.21000004,2.58,3.1,2.5,352,20260416,4.53,1.0,1.0,,,,BUY
TNA,61.15,2026/05/04,16:00 EDT,-0.949997,61.68,63.091,59.97,8172368,20260501,62.4,1.0,,,,,BUY
TNA,61.15,2026/05/04,16:00 EDT,-0.949997,61.68,63.091,59.97,8172368,20260423,58.0,1.0,,,,,SELL
TNA,61.15,2026/05/04,16:00 EDT,-0.949997,61.68,63.091,59.97,8172368,20260421,60.0,3.0,1.0,,,,SELL
TNA,61.15,2026/05/04,16:00 EDT,-0.949997,61.68,63.091,59.97,8172368,20260421,61.85,2.0,1.0,,,,BUY
TNA,61.15,2026/05/04,16:00 EDT,-0.949997,61.68,63.091,59.97,8172368,20260413,52.57,3.0,1.0,,,,BUY
WAL,79.85,2026/05/04,16:00 EDT,-0.950005,80.39,81.31,79.55,687533,20260410,75.9,1.0,0.8,,,,BUY
ONDS,9.73,2026/05/04,16:00 EDT,-0.59000015,10.15,10.365,9.67,46789328,20260410,9.14,3.0,,,,,SELL
RSP,201.64,2026/05/04,16:00 EDT,-1.18001,202.37,203.575,201.23,9486875,20260410,196.9,0.5,1.0,,,,BUY
KRE,68.99,2026/05/04,16:00 EDT,-0.830002,69.42,69.925,68.765,11403973,20260410,68.95,1.0,0.7,,,,BUY
TUR,41.98,2026/05/04,16:00 EDT,-0.6100006,42.1,42.22,41.81,215060,20260410,42.0,3.0,1.0,,,,BUY
DRAM,42.47,2026/05/04,16:00 EDT,2.06,42.15,43.43,41.91,29567115,20260428,37.0,2.0,1.0,,,,SELL
DRAM,42.47,2026/05/04,16:00 EDT,2.06,42.15,43.43,41.91,29567115,20260422,37.3,1.0,,,,,BUY
DRAM,42.47,2026/05/04,16:00 EDT,2.06,42.15,43.43,41.91,29567115,20260409,32.0,1.0,,,,,BUY
EWY,163.59,2026/05/04,16:00 EDT,1.59,165.226,167.829,162.2414,14530130,20260319,127.9,1.0,1.0,,,,SELL
EWY,163.59,2026/05/04,16:00 EDT,1.59,165.226,167.829,162.2414,14530130,20260311,134.0,0.5,,,,,BUY
EWY,163.59,2026/05/04,16:00 EDT,1.59,165.226,167.829,162.2414,14530130,20260311,134.0,0.5,,,,,BUY
KRKNF,5.69,2026/05/04,15:57 EDT,0.24000025,5.5,5.84,5.42,260947,20260316,6.7,5.0,0.4,,,,BUY
SLV,65.94,2026/05/04,16:00 EDT,-2.35,66.394,67.58,65.61,20807881,20260305,74.0,2.0,1.0,,,,SELL
XLE,59.39,2026/05/04,16:00 EDT,0.540001,58.73,59.63,58.22,36682340,20260305,57.0,4.0,1.0,,,,SELL
TLT270115C00088000,2.05,2026/05/04,15:33 EDT,-0.17000008,2.14,2.15,1.96,266,20260206,3.78,1.0,1.0,,,,SELL
TLT270115C00088000,2.05,2026/05/04,15:33 EDT,-0.17000008,2.14,2.15,1.96,266,20260113,3.82,1.0,1.0,,,,BUY
TLT,84.96,2026/05/04,16:00 EDT,-0.6549988,85.355,85.36,84.76,27045423,20260424,86.55,1.0,,,,,SELL
TLT,84.96,2026/05/04,16:00 EDT,-0.6549988,85.355,85.36,84.76,27045423,20260318,86.96,1.0,0.0,,,,BUY
TLT,84.96,2026/05/04,16:00 EDT,-0.6549988,85.355,85.36,84.76,27045423,20260304,89.22,5.0,1.0,,,,SELL
TLT,84.96,2026/05/04,16:00 EDT,-0.6549988,85.355,85.36,84.76,27045423,20260217,89.85,5.0,1.0,,,,BUY
TLT,84.96,2026/05/04,16:00 EDT,-0.6549988,85.355,85.36,84.76,27045423,20250416,88.31,2.0,1.0,,,,SELL
TLT,84.96,2026/05/04,16:00 EDT,-0.6549988,85.355,85.36,84.76,27045423,20241226,87.31,1.5,1.0,,,,BUY
TLT,84.96,2026/05/04,16:00 EDT,-0.6549988,85.355,85.36,84.76,27045423,20240702,91.08,0.5,0.5,,,,BUY
TSLA,392.51,2026/05/04,16:00 EDT,1.6900024,390.06,394.64,384.8004,48463706,20260205,400.0,1.0,1.0,,,,SELL
TSLA,392.51,2026/05/04,16:00 EDT,1.6900024,390.06,394.64,384.8004,48463706,20240711,254.0,0.4,1.0,,,,BUY
TSLA,392.51,2026/05/04,16:00 EDT,1.6900024,390.06,394.64,384.8004,48463706,20240402,166.16,0.6,1.0,,,,BUY
NBIS,176.42,2026/05/04,16:00 EDT,21.929993,160.39,179.4,159.71,24644671,20260204,86.44,1.0,0.9,,,,SELL
NBIS,176.42,2026/05/04,16:00 EDT,21.929993,160.39,179.4,159.71,24644671,20260121,97.8,1.0,0.9,,,,SELL
NBIS,176.42,2026/05/04,16:00 EDT,21.929993,160.39,179.4,159.71,24644671,20260120,99.29,1.0,1.0,,,,SELL
NBIS,176.42,2026/05/04,16:00 EDT,21.929993,160.39,179.4,159.71,24644671,20260113,104.83,1.0,1.0,,,,SELL
NBIS,176.42,2026/05/04,16:00 EDT,21.929993,160.39,179.4,159.71,24644671,20251022,99.36,1.0,1.0,,,,BUY
NBIS,176.42,2026/05/04,16:00 EDT,21.929993,160.39,179.4,159.71,24644671,20251020,112.55,1.0,1.0,,,,BUY
NBIS,176.42,2026/05/04,16:00 EDT,21.929993,160.39,179.4,159.71,24644671,20250804,53.49,2.0,1.0,,,,BUY
